https://www.yahoo.com/news/uvus-college-science-awarded-1-225317676.html,"UVU’s College of Science Awarded $1 Million Grant","Utah Valley University's College of Science has been awarded a $1 million grant to enhance its research capabilities and support its science programs."

https://www.msn.com/en-us/news/us/iu-health-receives-139m-grant-to-train-forensic-nurses-dealing-with-sexual-assault-victims/ar-AA1pcTY6,"IU Health Receives $139M Grant to Train Forensic Nurses","IU Health has received a $139 million grant to train forensic nurses specializing in cases of sexual assault, aiming to improve support and care for victims."

https://www.sungazette.com/sports/2024/08/west-end-ll-from-trenton-nj-receives-25000-grant/,"West End Little League from Trenton, NJ Receives $25,000 Grant","The West End Little League in Trenton, NJ, has been awarded a $25,000 grant to support its youth baseball programs and improve facilities."

https://finance.yahoo.com/news/latin-grammy-cultural-foundation-opens-130000559.html,"Latin Grammy Cultural Foundation Opens $130,000 Grant Program","The Latin Grammy Cultural Foundation has launched a new grant program with $130,000 in funding to support music education and cultural projects."

https://www.news-star.com/2024/08/community-market-awarded-nearly-168k-avedis-grant/,"Community Market Awarded Nearly $168K Avedis Grant","A community market has received a nearly $168,000 grant from the Avedis Foundation to expand its services and outreach initiatives."

https://newstalkkzrg.com/2024/08/22/joplin-area-habitat-for-humanity-receives-10000-grant-from-the-u-s-bank-foundation/,"Joplin Area Habitat for Humanity Receives $10,000 Grant from the U.S. Bank Foundation","The Joplin Area Habitat for Humanity has been awarded a $10,000 grant from the U.S. Bank Foundation to support its housing and community development projects."

https://hub.jhu.edu/2024/08/22/rui-ni-grant-to-study-turbulence/,"Rui Ni Awarded Grant to Study Turbulence","Rui Ni has received a grant to research turbulence, focusing on its effects and implications across various scientific and engineering fields."

https://www.suffolknewsherald.com/2024/08/22/southampton-academy-receives-dollar-general-literacy-foundation-grant/,"Southampton Academy Receives Dollar General Literacy Foundation Grant","Southampton Academy has been awarded a grant from the Dollar General Literacy Foundation to support and enhance its literacy programs."

https://www.austindailyherald.com/2024/08/area-residents-displaced-because-of-flooding-eligible-for-1000-grants-through-realtors-relief-foundation/,"Flood-Displaced Residents Eligible for $1,000 Grants Through Realtors Relief Foundation","Residents displaced by recent flooding can apply for $1,000 grants from the Realtors Relief Foundation to aid in their recovery efforts."

https://www.wktv.com/news/local/water-infrastructure-grants-to-be-allocated-to-local-municipalities/article_e2d015b2-60b0-11ef-8364-a32eea8b03a6.html,"Water Infrastructure Grants to Be Allocated to Local Municipalities","Local municipalities are set to receive water infrastructure grants to improve and upgrade their water systems and facilities."
